movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn
The New World,Terrence Malick,2004,7,Sam Adams,Freelance film critic,US,/name/nm0000517/,"Ottawa, Illinois, USA"
Certified Copy,Abbas Kiarostami,2010,8,Sam Adams,Freelance film critic,US,/name/nm0452102/,"Tehran, Iran"
The World,Jia Zhangke,2004,9,Sam Adams,Freelance film critic,US,/name/nm0422605/,"Fenyang, Shanxi, China"
Elephant,Gus Van Sant,2003,10,Sam Adams,Freelance film critic,US,/name/nm0001814/,"Louisville, Kentucky, USA"
Zero Dark Thirty,Kathryn Bigelow,2012,1,Thelma Adams,Freelance film critic,US,/name/nm0000941/,"San Carlos, California, USA"
A History of Violence,David Cronenberg,2005,2,Thelma Adams,Freelance film critic,US,/name/nm0000343/,"Toronto, Ontario, Canada"
The Grand Budapest Hotel,Wes Anderson,2014,3,Thelma Adams,Freelance film critic,US,/name/nm0027572/,"Houston, Texas, USA"
Stories We Tell,Sarah Polley,2012,4,Thelma Adams,Freelance film critic,US,/name/nm0001631/,"Toronto, Ontario, Canada"
Casino Royale,Martin Campbell,2006,5,Thelma Adams,Freelance film critic,US,/name/nm0132709/,"Hastings, New Zealand"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,6,Thelma Adams,Freelance film critic,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Tabu,Miguel Gomes,2012,7,Thelma Adams,Freelance film critic,US,/name/nm0326937/,"Lisbon, Portugal"
Snow White,Pablo Berger,2012,8,Thelma Adams,Freelance film critic,US,/name/nm0074311/,"Bilbao, Vizcaya, País Vasco, Spain"
Frozen River,Courtney Hunt,2008,9,Thelma Adams,Freelance film critic,US,/name/nm2581581/,"Memphis, Tennessee, USA"
Gosford Park,Robert Altman,2001,10,Thelma Adams,Freelance film critic,US,/name/nm0000265/,"Kansas City, Missouri, USA"
In the Mood for Love,Wong Kar-wai,2000,1,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0939182/,"Shanghai, China"
Mulholland Drive,David Lynch,2001,2,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0000186/,"Missoula, Montana, USA"
Inception,Christopher Nolan,2010,3,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0634240/,"London, England, UK"
Pan's Labyrinth,Guillermo Del Toro,2006,4,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Caché,Michael Haneke,2005,5,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0359734/,"Munich, Bavaria, Germany"
Grizzly Man,Werner Herzog,2005,6,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0001348/,"Munich, Bavaria, Germany"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,7,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0612816/,"Iasi, Romania"
Holy Motors,Leos Carax,2012,8,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
The Last of the Unjust,Claude Lanzmann,2013,9,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0487351/,"Bois-Colombes, Hauts-de-Seine, France"
There Will Be Blood,Paul Thomas Anderson,2007,10,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0000759/,"Studio City, California, USA"
The Piano Teacher,Michael Haneke,2001,1,Matthew Anderson,BBC Culture,UK,/name/nm0359734/,"Munich, Bavaria, Germany"
Margaret,Kenneth Lonergan,2011,2,Matthew Anderson,BBC Culture,UK,/name/nm0518836/,"New York City, New York, USA"
American Psycho,Mary Harron,2000,3,Matthew Anderson,BBC Culture,UK,/name/nm0366004/,"Bracebridge, Ontario, Canada"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,4,Matthew Anderson,BBC Culture,UK,/name/nm0612816/,"Iasi, Romania"
Caché,Michael Haneke,2005,5,Matthew Anderson,BBC Culture,UK,/name/nm0359734/,"Munich, Bavaria, Germany"
Mulholland Drive,David Lynch,2001,6,Matthew Anderson,BBC Culture,UK,/name/nm0000186/,"Missoula, Montana, USA"
Lourdes,Jessica Hausner,2009,7,Matthew Anderson,BBC Culture,UK,/name/nm0369618/,"Vienna, Austria"
Red Road,Andrea Arnold,2006,8,Matthew Anderson,BBC Culture,UK,/name/nm0036349/,"Dartford, Kent, England, UK"
Boyhood,Richard Linklater,2014,9,Matthew Anderson,BBC Culture,UK,/name/nm0000500/,"Houston, Texas, USA"
Tony Manero,Pablo Larraín,2008,10,Matthew Anderson,BBC Culture,UK,/name/nm1883257/,"Santiago, Chile"
No Country For Old Men,Joel and Ethan Coen,2007,1,Tim Appelo,The Wrap,US,,
Spirited Away,Hayao Miyazaki,2001,2,Tim Appelo,The Wrap,US,/name/nm0594503/,"Tokyo, Japan"
A Separation,Asghar Farhadi,2011,3,Tim Appelo,The Wrap,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
Pan's Labyrinth,Guillermo Del Toro,2006,4,Tim Appelo,The Wrap,US,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,5,Tim Appelo,The Wrap,US,,
Hero,Zhang Yimou,2002,6,Tim Appelo,The Wrap,US,/name/nm0955443/,"Xi'an, Shaanxi, China"
The Wolf of Wall Street,Martin Scorsese,2013,7,Tim Appelo,The Wrap,US,/name/nm0000217/,"Queens, New York City, New York, USA"
Mother,Bong Joon-ho,2009,8,Tim Appelo,The Wrap,US,/name/nm0094435/,"Daegu, South Korea"
The Bourne Ultimatum,Paul Greengrass,2007,9,Tim Appelo,The Wrap,US,/name/nm0339030/,"Cheam, Surrey, England, UK"
Traffic,Steven Soderbergh,2000,10,Tim Appelo,The Wrap,US,/name/nm0001752/,"Atlanta, Georgia, USA"
These Encounters of Theirs,Danièle Huillet and Jean-Marie Straub,2006,1,Adriano Aprà,Film historian,Italy,,
Vincere,Marco Bellocchio,2009,2,Adriano Aprà,Film historian,Italy,/name/nm0069166/,"Piacenza, Emilia-Romagna, Italy"
Le quattro volte,Michelangelo Frammartino,2010,3,Adriano Aprà,Film historian,Italy,/name/nm1506005/,"Milan, Lombardy, Italy"
The Profession of Arms,Ermanno Olmi,2001,4,Adriano Aprà,Film historian,Italy,/name/nm0647438/,"Bergamo, Lombardy, Italy"
Gostanza da Libbiano,Paolo Benvenuti,2000,5,Adriano Aprà,Film historian,Italy,/name/nm0073047/,"Pisa, Tuscany, Italy"
Storia di una donna amata e di un assassino gentile,Luigi M. Faccini,2009,6,Adriano Aprà,Film historian,Italy,/name/nm0264825/,"Lerici, Italy"
At the First Breath of Wind,Franco Piavoli,2003,7,Adriano Aprà,Film historian,Italy,/name/nm0681311/,"Pozzolengo, Lombardy, Italy"
Sangue,Pippo Delbono,2013,8,Adriano Aprà,Film historian,Italy,/name/nm2647632/,
Terra,Marco De Angelis and Antonio Di Trapani,2015,9,Adriano Aprà,Film historian,Italy,,
Oh! Man,Yervant Gianikian and Angela Ricci Lucchi,2004,10,Adriano Aprà,Film historian,Italy,,
"Synecdoche, New York",Charlie Kaufman,2008,1,Michael Arbeiter,Nerdist,US,/name/nm0442109/,"New York City, New York, USA"
Mulholland Drive,David Lynch,2001,2,Michael Arbeiter,Nerdist,US,/name/nm0000186/,"Missoula, Montana, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,3,Michael Arbeiter,Nerdist,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Black Swan,Darren Aronofsky,2010,4,Michael Arbeiter,Nerdist,US,/name/nm0004716/,"Brooklyn, New York City, New York, USA"
The Comedy,Rick Alverson,2012,5,Michael Arbeiter,Nerdist,US,/name/nm3687830/,
Melancholia,Lars von Trier,2011,6,Michael Arbeiter,Nerdist,US,/name/nm0001885/,"Copenhagen, Denmark"
Inglourious Basterds,Quentin Tarantino,2009,7,Michael Arbeiter,Nerdist,US,/name/nm0000233/,"Knoxville, Tennessee, USA"
Inside Llewyn Davis,Joel and Ethan Coen,2013,8,Michael Arbeiter,Nerdist,US,,
Only Lovers Left Alive,Jim Jarmusch,2013,9,Michael Arbeiter,Nerdist,US,/name/nm0000464/,"Akron, Ohio, USA"
The Congress,Ari Folman,2013,10,Michael Arbeiter,Nerdist,US,/name/nm0284369/,"Haifa, Israel"
The Master,Paul Thomas Anderson,2012,1,Ali Arikan,Dipnot TV,Turkey,/name/nm0000759/,"Studio City, California, USA"
25th Hour,Spike Lee,2002,2,Ali Arikan,Dipnot TV,Turkey,/name/nm0000490/,"Atlanta, Georgia, USA"
24 Hour Party People,Michael Winterbottom,2002,3,Ali Arikan,Dipnot TV,Turkey,/name/nm0935863/,"Blackburn, Lancashire, England, UK"
Mulholland Drive,David Lynch,2001,4,Ali Arikan,Dipnot TV,Turkey,/name/nm0000186/,"Missoula, Montana, USA"
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,5,Ali Arikan,Dipnot TV,Turkey,/name/nm0149196/,"Istanbul, Turkey"
Zodiac,David Fincher,2007,6,Ali Arikan,Dipnot TV,Turkey,/name/nm0000399/,"Denver, Colorado, USA"
A Serious Man,Joel and Ethan Coen,2009,7,Ali Arikan,Dipnot TV,Turkey,,
Tinker Tailor Soldier Spy,Tomas Alfredson,2011,8,Ali Arikan,Dipnot TV,Turkey,/name/nm0019247/,"Lidingö, Stockholms län, Sweden"
Primer,Shane Carruth,2004,9,Ali Arikan,Dipnot TV,Turkey,/name/nm1503403/,"Myrtle Beach, South Carolina, USA"
In the Mood for Love,Wong Kar-wai,2000,10,Ali Arikan,Dipnot TV,Turkey,/name/nm0939182/,"Shanghai, China"
"La commune (Paris, 1871)","Paris, 1871) (Peter Watkins",1871,1,Michael Atkinson,The Village Voice,US,,
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,2,Michael Atkinson,The Village Voice,US,/name/nm0917405/,"Bangkok, Thailand"
2046,Wong Kar-wai,2004,3,Michael Atkinson,The Village Voice,US,/name/nm0939182/,"Shanghai, China"
Adaptation,Spike Jonze,2002,4,Michael Atkinson,The Village Voice,US,/name/nm0005069/,"Rockville, Maryland, USA"
Battle in Heaven,Carlos Reygadas,2005,5,Michael Atkinson,The Village Voice,US,/name/nm1196161/,"Mexico City, Distrito Federal, Mexico"
Caché,Michael Haneke,2005,6,Michael Atkinson,The Village Voice,US,/name/nm0359734/,"Munich, Bavaria, Germany"
Inland Empire,David Lynch,2006,7,Michael Atkinson,The Village Voice,US,/name/nm0000186/,"Missoula, Montana, USA"
Mulholland Drive,David Lynch,2001,8,Michael Atkinson,The Village Voice,US,/name/nm0000186/,"Missoula, Montana, USA"
Mysteries of Lisbon,Raoul Ruiz,2010,9,Michael Atkinson,The Village Voice,US,/name/nm0749914/,"Puerto Montt, Chile"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,10,Michael Atkinson,The Village Voice,US,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
There Will Be Blood,Paul Thomas Anderson,2007,1,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0000759/,"Studio City, California, USA"
Mulholland Drive,David Lynch,2001,2,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0000186/,"Missoula, Montana, USA"
Children of Men,Alfonso Cuarón,2006,3,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
City of God,Fernando Meirelles and Kátia Lund,2002,4,Ana Maria Bahiana,Freelance film critic,Brazil,,
Pan's Labyrinth,Guillermo Del Toro,2006,5,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0868219/,"Guadalajara, Jalisco, Mexico"
Inception,Christopher Nolan,2010,6,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0634240/,"London, England, UK"
The Incredibles,Brad Bird,2004,7,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0083348/,"Kalispell, Montana, USA"
Birdman,Alejandro González Iñárritu,2014,8,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico"
No Country For Old Men,Joel and Ethan Coen,2007,9,Ana Maria Bahiana,Freelance film critic,Brazil,,
Brokeback Mountain,Ang Lee,2005,10,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0000487/,"Pingtung, Taiwan"
In the Mood for Love,Wong Kar-wai,2000,1,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0939182/,"Shanghai, China"
12 Years a Slave,Steve McQueen,2013,2,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0000537/,"Beech Grove, Indiana, USA"
Spirited Away,Hayao Miyazaki,2001,3,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0594503/,"Tokyo, Japan"
Fish Tank,Andrea Arnold,2009,4,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0036349/,"Dartford, Kent, England, UK"
Mommy,Xavier Dolan,2014,5,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0230859/,"Montreal, Quebec, Canada"
Talk to Her,Pedro Almodóvar,2002,6,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Timbuktu,Abderrahmane Sissako,2014,7,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0803066/,"Kiffa, Mauritania"
Selma,Ava DuVernay,2014,8,Cameron Bailey,Toronto Film Festival,Canada,/name/nm1148550/,"Long Beach, California, USA"
The White Ribbon,Michael Haneke,2009,9,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0359734/,"Munich, Bavaria, Germany"
The Headless Woman,Lucrecia Martel,2008,10,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0551506/,"Salta, Argentina"
The Royal Tenenbaums,Wes Anderson,2001,1,Lindsay Baker,BBC Culture,UK,/name/nm0027572/,"Houston, Texas, USA"
Far From Heaven,Todd Haynes,2002,2,Lindsay Baker,BBC Culture,UK,/name/nm0001331/,"Los Angeles, California, USA"
Moonrise Kingdom,Wes Anderson,2012,3,Lindsay Baker,BBC Culture,UK,/name/nm0027572/,"Houston, Texas, USA"
Lost in Translation,Sofia Coppola,2003,4,Lindsay Baker,BBC Culture,UK,/name/nm0001068/,"New York City, New York, USA"
A Single Man,Tom Ford,2009,5,Lindsay Baker,BBC Culture,UK,/name/nm1053530/,"Austin, Texas, USA"
Spirited Away,Hayao Miyazaki,2001,6,Lindsay Baker,BBC Culture,UK,/name/nm0594503/,"Tokyo, Japan"
Toy Story 3,Lee Unkrich,2010,7,Lindsay Baker,BBC Culture,UK,/name/nm0881279/,"Cleveland, Ohio, USA"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8,Lindsay Baker,BBC Culture,UK,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
I Am Love,Luca Guadagnino,2009,9,Lindsay Baker,BBC Culture,UK,/name/nm0345174/,"Palermo, Sicily, Italy"
Donnie Darko,Richard Kelly,2001,10,Lindsay Baker,BBC Culture,UK,/name/nm0446819/,"Newport News, Virginia, USA"
Inherent Vice,Paul Thomas Anderson,2014,1,Miriam Bale,Freelance film critic,US,/name/nm0000759/,"Studio City, California, USA"
Film socialisme,Jean-Luc Godard,2010,2,Miriam Bale,Freelance film critic,US,/name/nm0000419/,"Paris, France"
A History of Violence,David Cronenberg,2005,3,Miriam Bale,Freelance film critic,US,/name/nm0000343/,"Toronto, Ontario, Canada"
This Is the End,Evan Goldberg and Seth Rogen,2013,4,Miriam Bale,Freelance film critic,US,,
Somewhere,Sofia Coppola,2010,5,Miriam Bale,Freelance film critic,US,/name/nm0001068/,"New York City, New York, USA"
Holy Motors,Leos Carax,2012,6,Miriam Bale,Freelance film critic,US,/name/nm0136021/,"Suresnes, Seine [now Hauts-de-Seine], France"
Almayer's Folly,Chantal Akerman,2011,7,Miriam Bale,Freelance film critic,US,/name/nm0001901/,"Brussels, Belgium"
Inside Llewyn Davis,Joel and Ethan Coen,2013,8,Miriam Bale,Freelance film critic,US,,
The Story of Marie and Julien,Jacques Rivette,2003,9,Miriam Bale,Freelance film critic,US,/name/nm0729626/,"Rouen, Seine-Inférieure [now Seine-Maritime], France"
Bamboozled,Spike Lee,2000,10,Miriam Bale,Freelance film critic,US,/name/nm0000490/,"Atlanta, Georgia, USA"
Boyhood,Richard Linklater,2014,1,Nicholas Barber,BBC Culture,UK,/name/nm0000500/,"Houston, Texas, USA"
Under the Skin,Jonathan Glazer,2013,2,Nicholas Barber,BBC Culture,UK,/name/nm0322242/,"London, England, UK"
Anomalisa,Duke Johnson and Charlie Kaufman,2015,3,Nicholas Barber,BBC Culture,UK,,
12 Years a Slave,Steve McQueen,2013,4,Nicholas Barber,BBC Culture,UK,/name/nm0000537/,"Beech Grove, Indiana, USA"
Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath and Conrad Vernon",2012,5,Nicholas Barber,BBC Culture,UK,,
Another Year,Mike Leigh,2010,6,Nicholas Barber,BBC Culture,UK,/name/nm0005139/,"Salford, Greater Manchester, England, UK"
The Diving Bell and the Butterfly,Julian Schnabel,2007,7,Nicholas Barber,BBC Culture,UK,/name/nm0773603/,"Brooklyn, New York, USA"
Children of Men,Alfonso Cuarón,2006,8,Nicholas Barber,BBC Culture,UK,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
The Social Network,David Fincher,2010,9,Nicholas Barber,BBC Culture,UK,/name/nm0000399/,"Denver, Colorado, USA"
A Separation,Asghar Farhadi,2011,10,Nicholas Barber,BBC Culture,UK,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
WALL-E,Andrew Stanton,2008,1,Diego Batlle,La Nacion,Argentina,/name/nm0004056/,"Boston, Massachusetts, USA"
In the Mood for Love,Wong Kar-wai,2000,2,Diego Batlle,La Nacion,Argentina,/name/nm0939182/,"Shanghai, China"
Spirited Away,Hayao Miyazaki,2001,3,Diego Batlle,La Nacion,Argentina,/name/nm0594503/,"Tokyo, Japan"
Boyhood,Richard Linklater,2014,4,Diego Batlle,La Nacion,Argentina,/name/nm0000500/,"Houston, Texas, USA"
The Son's Room,Nanni Moretti,2001,5,Diego Batlle,La Nacion,Argentina,/name/nm0604335/,"Brunico, Trentino-Alto Adige, Italy"
Extraordinary Stories,Mariano Llinás,2008,6,Diego Batlle,La Nacion,Argentina,/name/nm1183471/,"Buenos Aires, Argentina"
Mulholland Drive,David Lynch,2001,7,Diego Batlle,La Nacion,Argentina,/name/nm0000186/,"Missoula, Montana, USA"
The Social Network,David Fincher,2010,8,Diego Batlle,La Nacion,Argentina,/name/nm0000399/,"Denver, Colorado, USA"
Elephant,Gus Van Sant,2003,9,Diego Batlle,La Nacion,Argentina,/name/nm0001814/,"Louisville, Kentucky, USA"
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,10,Diego Batlle,La Nacion,Argentina,/name/nm0917405/,"Bangkok, Thailand"
Mulholland Drive,David Lynch,2001,1,NT Binh,Positif,France,/name/nm0000186/,"Missoula, Montana, USA"
Talk to Her,Pedro Almodóvar,2002,2,NT Binh,Positif,France,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
The Assassin,Hou Hsiao-hsien,2015,3,NT Binh,Positif,France,/name/nm0396284/,"Meixian, Guangdong, China"
Million Dollar Baby,Clint Eastwood,2004,4,NT Binh,Positif,France,/name/nm0000142/,"San Francisco, California, USA"
In the Mood for Love,Wong Kar-wai,2000,5,NT Binh,Positif,France,/name/nm0939182/,"Shanghai, China"
Leviathan,Andrey Zvyagintsev,2014,6,NT Binh,Positif,France,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, RSFSR, USSR [now Russia]"
A Touch of Sin,Jia Zhangke,2013,7,NT Binh,Positif,France,/name/nm0422605/,"Fenyang, Shanxi, China"
Distant,Nuri Bilge Ceylan,2002,8,NT Binh,Positif,France,/name/nm0149196/,"Istanbul, Turkey"
The New World,Terrence Malick,2005,9,NT Binh,Positif,France,/name/nm0000517/,"Ottawa, Illinois, USA"
A Prophet,Jacques Audiard,2009,10,NT Binh,Positif,France,/name/nm0002191/,"Paris, France"
Timbuktu,Abderrahmane Sissako,2014,1,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0803066/,"Kiffa, Mauritania"
Blue Is the Warmest Color,Abdellatif Kechiche,2013,2,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0444244/,"Tunis, Tunisia"
Moolaadé,Ousmane Sembèène,2004,3,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0783733/,"Ziguenchor, Casamance, Senegal"
A Separation,Asghar Farhadi,2011,4,Lizelle Bisschoff,University of Glasgow,UK,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran"
The Secret in Their Eyes,Juan José Campanella,2009,5,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0002728/,"Buenos Aires, Argentina"
Oldboy,Park Chan-wook,2003,6,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0661791/,"Seoul, South Korea"
In the Mood for Love,Wong Kar-wai,2000,7,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0939182/,"Shanghai, China"
Fat Girl,Catherine Breillat,2001,8,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0106924/,"Bressuire, Deux-Sèvres, France"
The Orphanage,J. A. Bayona,2007,9,Lizelle Bisschoff,University of Glasgow,UK,/name/nm1291105/,"Barcelona, Catalonia, Spain"
The Hunt,Thomas Vinterberg,2012,10,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0899121/,"Copenhagen, Denmark"
Spring Breakers,Harmony Korine,2012,1,Christian Blauvelt,BBC Culture,US,/name/nm0005101/,"Bolinas, California, USA"
My Winnipeg,Guy Maddin,2007,2,Christian Blauvelt,BBC Culture,US,/name/nm0534665/,"Winnipeg, Manitoba, Canada"
The Ghost Writer,Roman Polanski,2010,3,Christian Blauvelt,BBC Culture,US,/name/nm0000591/,"Paris, France"
Moulin Rouge!,Baz Luhrmann,2001,4,Christian Blauvelt,BBC Culture,US,/name/nm0525303/,"New South Wales, Australia"
Star Wars: Episode III – Revenge of the Sith,George Lucas,2005,5,Christian Blauvelt,BBC Culture,US,/name/nm0000184/,"Modesto, California, USA"
Manakamana,Pacho Velez and Stephanie Spray,2013,6,Christian Blauvelt,BBC Culture,US,,
The Curious Case of Benjamin Button,David Fincher,2008,7,Christian Blauvelt,BBC Culture,US,/name/nm0000399/,"Denver, Colorado, USA"
"You, The Living",Roy Andersson,2007,8,Christian Blauvelt,BBC Culture,US,/name/nm0027815/,"Gothenburg, Västra Götalands län, Sweden"
Mother,Bong Joon-ho,2009,9,Christian Blauvelt,BBC Culture,US,/name/nm0094435/,"Daegu, South Korea"
A Serious Man,Joel and Ethan Coen,2009,10,Christian Blauvelt,BBC Culture,US,,
Moolaadé,Ousmane Sembène,2004,1,Mahen Bonetti,African Film Festival Inc,US,/name/nm0783733/,"Ziguenchor, Casamance, Senegal"
Timbuktu,Abderrahmane Sissako,2014,2,Mahen Bonetti,African Film Festival Inc,US,/name/nm0803066/,"Kiffa, Mauritania"
Cuba: An African Odyssey,Jihan El-Tahri,2007,3,Mahen Bonetti,African Film Festival Inc,US,/name/nm1911613/,
"Sexe, gombo et beurre salé",Mahamat-Saleh Haroun,2008,4,Mahen Bonetti,African Film Festival Inc,US,/name/nm0757958/,"Abéché, Chad"
Shoot the Messenger,Ngozi Onwurah,2006,5,Mahen Bonetti,African Film Festival Inc,US,/name/nm0648937/,Nigeria
Red Leaves,Bazi Gete,2014,6,Mahen Bonetti,African Film Festival Inc,US,/name/nm6514631/,
The Colonial Misunderstanding,Jean-Marie Téno,2004,7,Mahen Bonetti,African Film Festival Inc,US,/name/nm0879403/,"Famleng, Cameroon"
Restless City,Andrew Dosunmu,2011,8,Mahen Bonetti,African Film Festival Inc,US,/name/nm0234506/,
Conversations on a Sunday Afternoon,Khalo Matabane,2005,9,Mahen Bonetti,African Film Festival Inc,US,/name/nm1988834/,
Belle,Amma Asante,2013,10,Mahen Bonetti,African Film Festival Inc,US,/name/nm1392994/,"Streatham, London, England, UK"
Requiem for a Dream,Darren Aronofsky,2000,1,Andreas Borcholte,Spiegel Online,Germany,/name/nm0004716/,"Brooklyn, New York City, New York, USA"
Antichrist,Lars von Trier,2009,2,Andreas Borcholte,Spiegel Online,Germany,/name/nm0001885/,"Copenhagen, Denmark"
Children of Men,Alfonso Cuarón,2006,3,Andreas Borcholte,Spiegel Online,Germany,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
The Child,Jean-Pierre and Luc Dardenne,2005,4,Andreas Borcholte,Spiegel Online,Germany,/name/nm0201094/,"Engis, Wallonia, Belgium"
No Country For Old Men,Joel and Ethan Coen,2007,5,Andreas Borcholte,Spiegel Online,Germany,,
Fish Tank,Andrea Arnold,2009,6,Andreas Borcholte,Spiegel Online,Germany,/name/nm0036349/,"Dartford, Kent, England, UK"
The Tree of Life,Terrence Malick,2011,7,Andreas Borcholte,Spiegel Online,Germany,/name/nm0000517/,"Ottawa, Illinois, USA"
Inception,Christopher Nolan,2010,8,Andreas Borcholte,Spiegel Online,Germany,/name/nm0634240/,"London, England, UK"
Kill Bill: Vol. 1,Quentin Tarantino,2003,9,Andreas Borcholte,Spiegel Online,Germany,/name/nm0000233/,"Knoxville, Tennessee, USA"
Irreversible,Gaspar Noé,2002,10,Andreas Borcholte,Spiegel Online,Germany,/name/nm0637615/,"Buenos Aires, Argentina"
