movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn,dir_cn_geocode
Mulholland Drive,David Lynch,2001,2,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Inception,Christopher Nolan,2010,3,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Pan's Labyrinth,Guillermo Del Toro,2006,4,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0868219/,"Guadalajara, Jalisco, Mexico","[20.6720375, -103.338396]"
Caché,Michael Haneke,2005,5,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Grizzly Man,Werner Herzog,2005,6,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0001348/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,7,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
Holy Motors,Leos Carax,2012,8,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0136021/,"Suresnes, Hauts-de-Seine, France","[48.8709053, 2.2255727]"
The Last of the Unjust,Claude Lanzmann,2013,9,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0487351/,"Bois-Colombes, Hauts-de-Seine, France","[48.9148269, 2.2674892]"
There Will Be Blood,Paul Thomas Anderson,2007,10,Arturo Aguilar,Rolling Stone Mexico,Mexico,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
The Piano Teacher,Michael Haneke,2001,1,Matthew Anderson,BBC Culture,UK,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Margaret,Kenneth Lonergan,2011,2,Matthew Anderson,BBC Culture,UK,/name/nm0518836/,"New York City, New York, USA","[40.7127281, -74.0060152]"
American Psycho,Mary Harron,2000,3,Matthew Anderson,BBC Culture,UK,/name/nm0366004/,"Bracebridge, Ontario, Canada","[45.041508, -79.310989]"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,4,Matthew Anderson,BBC Culture,UK,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
Caché,Michael Haneke,2005,5,Matthew Anderson,BBC Culture,UK,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Mulholland Drive,David Lynch,2001,6,Matthew Anderson,BBC Culture,UK,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Lourdes,Jessica Hausner,2009,7,Matthew Anderson,BBC Culture,UK,/name/nm0369618/,"Vienna, Austria","[48.2083537, 16.3725042]"
Red Road,Andrea Arnold,2006,8,Matthew Anderson,BBC Culture,UK,/name/nm0036349/,"Dartford, Kent, England, UK","[51.4443059, 0.21807]"
Boyhood,Richard Linklater,2014,9,Matthew Anderson,BBC Culture,UK,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Tony Manero,Pablo Larraín,2008,10,Matthew Anderson,BBC Culture,UK,/name/nm1883257/,"Santiago, Chile","[-33.4377756, -70.6504502]"
No Country For Old Men,Joel and Ethan Coen,2007,1,Tim Appelo,The Wrap,US,,,"[46.3144754, 11.0480288]"
Spirited Away,Hayao Miyazaki,2001,2,Tim Appelo,The Wrap,US,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
A Separation,Asghar Farhadi,2011,3,Tim Appelo,The Wrap,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Pan's Labyrinth,Guillermo Del Toro,2006,4,Tim Appelo,The Wrap,US,/name/nm0868219/,"Guadalajara, Jalisco, Mexico","[20.6720375, -103.338396]"
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,5,Tim Appelo,The Wrap,US,,,"[46.3144754, 11.0480288]"
Hero,Zhang Yimou,2002,6,Tim Appelo,The Wrap,US,/name/nm0955443/,"Xi'an, Shaanxi, China","[34.220444, 109.11150598002203]"
The Wolf of Wall Street,Martin Scorsese,2013,7,Tim Appelo,The Wrap,US,/name/nm0000217/,"Queens, New York City, New York, USA","[40.7135078, -73.8283132]"
Mother,Bong Joon-ho,2009,8,Tim Appelo,The Wrap,US,/name/nm0094435/,"Daegu, South Korea","[35.8713, 128.6018]"
The Bourne Ultimatum,Paul Greengrass,2007,9,Tim Appelo,The Wrap,US,/name/nm0339030/,"Cheam, Surrey, England, UK","[51.35186935, -0.22298660290908628]"
Traffic,Steven Soderbergh,2000,10,Tim Appelo,The Wrap,US,/name/nm0001752/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
These Encounters of Theirs,Danièle Huillet and Jean-Marie Straub,2006,1,Adriano Aprà,Film historian,Italy,,,"[46.3144754, 11.0480288]"
Vincere,Marco Bellocchio,2009,2,Adriano Aprà,Film historian,Italy,/name/nm0069166/,"Piacenza, Emilia-Romagna, Italy","[44.8476352, 9.666531257696896]"
Le quattro volte,Michelangelo Frammartino,2010,3,Adriano Aprà,Film historian,Italy,/name/nm1506005/,"Milan, Lombardy, Italy","[45.4641943, 9.1896346]"
The Profession of Arms,Ermanno Olmi,2001,4,Adriano Aprà,Film historian,Italy,/name/nm0647438/,"Bergamo, Lombardy, Italy","[45.756655699999996, 9.754219200862249]"
Gostanza da Libbiano,Paolo Benvenuti,2000,5,Adriano Aprà,Film historian,Italy,/name/nm0073047/,"Pisa, Tuscany, Italy","[43.7159395, 10.4018624]"
Storia di una donna amata e di un assassino gentile,Luigi M. Faccini,2009,6,Adriano Aprà,Film historian,Italy,/name/nm0264825/,"Lerici, Italy","[44.0736073, 9.9099135]"
At the First Breath of Wind,Franco Piavoli,2003,7,Adriano Aprà,Film historian,Italy,/name/nm0681311/,"Pozzolengo, Lombardy, Italy","[45.4059696, 10.6313729]"
Sangue,Pippo Delbono,2013,8,Adriano Aprà,Film historian,Italy,/name/nm2647632/,,"[46.3144754, 11.0480288]"
Terra,Marco De Angelis and Antonio Di Trapani,2015,9,Adriano Aprà,Film historian,Italy,,,"[46.3144754, 11.0480288]"
Oh! Man,Yervant Gianikian and Angela Ricci Lucchi,2004,10,Adriano Aprà,Film historian,Italy,,,"[46.3144754, 11.0480288]"
"Synecdoche, New York",Charlie Kaufman,2008,1,Michael Arbeiter,Nerdist,US,/name/nm0442109/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Mulholland Drive,David Lynch,2001,2,Michael Arbeiter,Nerdist,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,3,Michael Arbeiter,Nerdist,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Black Swan,Darren Aronofsky,2010,4,Michael Arbeiter,Nerdist,US,/name/nm0004716/,"Brooklyn, New York City, New York, USA","[40.6526006, -73.9497211]"
The Comedy,Rick Alverson,2012,5,Michael Arbeiter,Nerdist,US,/name/nm3687830/,,"[46.3144754, 11.0480288]"
Melancholia,Lars von Trier,2011,6,Michael Arbeiter,Nerdist,US,/name/nm0001885/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
Inglourious Basterds,Quentin Tarantino,2009,7,Michael Arbeiter,Nerdist,US,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
Inside Llewyn Davis,Joel and Ethan Coen,2013,8,Michael Arbeiter,Nerdist,US,,,"[46.3144754, 11.0480288]"
Only Lovers Left Alive,Jim Jarmusch,2013,9,Michael Arbeiter,Nerdist,US,/name/nm0000464/,"Akron, Ohio, USA","[41.083064, -81.518485]"
The Congress,Ari Folman,2013,10,Michael Arbeiter,Nerdist,US,/name/nm0284369/,"Haifa, Israel","[32.8191218, 34.9983856]"
The Master,Paul Thomas Anderson,2012,1,Ali Arikan,Dipnot TV,Turkey,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
25th Hour,Spike Lee,2002,2,Ali Arikan,Dipnot TV,Turkey,/name/nm0000490/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
24 Hour Party People,Michael Winterbottom,2002,3,Ali Arikan,Dipnot TV,Turkey,/name/nm0935863/,"Blackburn, Lancashire, England, UK","[53.64571545, -2.6380778905897326]"
Mulholland Drive,David Lynch,2001,4,Ali Arikan,Dipnot TV,Turkey,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,5,Ali Arikan,Dipnot TV,Turkey,/name/nm0149196/,"Istanbul, Turkey","[41.0096334, 28.9651646]"
Zodiac,David Fincher,2007,6,Ali Arikan,Dipnot TV,Turkey,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
A Serious Man,Joel and Ethan Coen,2009,7,Ali Arikan,Dipnot TV,Turkey,,,"[46.3144754, 11.0480288]"
Tinker Tailor Soldier Spy,Tomas Alfredson,2011,8,Ali Arikan,Dipnot TV,Turkey,/name/nm0019247/,"Lidingö, Stockholms län, Sweden","[59.3643845, 18.133142]"
Primer,Shane Carruth,2004,9,Ali Arikan,Dipnot TV,Turkey,/name/nm1503403/,"Myrtle Beach, South Carolina, USA","[33.6956461, -78.8900409]"
In the Mood for Love,Wong Kar-wai,2000,10,Ali Arikan,Dipnot TV,Turkey,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
"La commune (Paris, 1871)","Paris, 1871) (Peter Watkins",1871,1,Michael Atkinson,The Village Voice,US,,,"[46.3144754, 11.0480288]"
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,2,Michael Atkinson,The Village Voice,US,/name/nm0917405/,"Bangkok, Thailand","[13.7525438, 100.4934734]"
2046,Wong Kar-wai,2004,3,Michael Atkinson,The Village Voice,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Adaptation,Spike Jonze,2002,4,Michael Atkinson,The Village Voice,US,/name/nm0005069/,"Rockville, Maryland, USA","[39.0817985, -77.1516844]"
Battle in Heaven,Carlos Reygadas,2005,5,Michael Atkinson,The Village Voice,US,/name/nm1196161/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Caché,Michael Haneke,2005,6,Michael Atkinson,The Village Voice,US,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Inland Empire,David Lynch,2006,7,Michael Atkinson,The Village Voice,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Mulholland Drive,David Lynch,2001,8,Michael Atkinson,The Village Voice,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Mysteries of Lisbon,Raoul Ruiz,2010,9,Michael Atkinson,The Village Voice,US,/name/nm0749914/,"Puerto Montt, Chile","[-41.4718121, -72.939621]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,10,Michael Atkinson,The Village Voice,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
There Will Be Blood,Paul Thomas Anderson,2007,1,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Mulholland Drive,David Lynch,2001,2,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Children of Men,Alfonso Cuarón,2006,3,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
City of God,Fernando Meirelles and Kátia Lund,2002,4,Ana Maria Bahiana,Freelance film critic,Brazil,,,"[46.3144754, 11.0480288]"
Pan's Labyrinth,Guillermo Del Toro,2006,5,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0868219/,"Guadalajara, Jalisco, Mexico","[20.6720375, -103.338396]"
Inception,Christopher Nolan,2010,6,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
The Incredibles,Brad Bird,2004,7,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0083348/,"Kalispell, Montana, USA","[48.202158, -114.315321]"
Birdman,Alejandro González Iñárritu,2014,8,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
No Country For Old Men,Joel and Ethan Coen,2007,9,Ana Maria Bahiana,Freelance film critic,Brazil,,,"[46.3144754, 11.0480288]"
Brokeback Mountain,Ang Lee,2005,10,Ana Maria Bahiana,Freelance film critic,Brazil,/name/nm0000487/,"Pingtung, Taiwan","[22.6828017, 120.487928]"
In the Mood for Love,Wong Kar-wai,2000,1,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
12 Years a Slave,Steve McQueen,2013,2,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0000537/,"Beech Grove, Indiana, USA","[39.7221906, -86.0894158]"
Spirited Away,Hayao Miyazaki,2001,3,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Fish Tank,Andrea Arnold,2009,4,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0036349/,"Dartford, Kent, England, UK","[51.4443059, 0.21807]"
Mommy,Xavier Dolan,2014,5,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0230859/,"Montreal, Quebec, Canada","[45.5031824, -73.5698065]"
Talk to Her,Pedro Almodóvar,2002,6,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain","[38.7043087, -3.7766972]"
Timbuktu,Abderrahmane Sissako,2014,7,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0803066/,"Kiffa, Mauritania","[16.6161559, -11.4002038]"
Selma,Ava DuVernay,2014,8,Cameron Bailey,Toronto Film Festival,Canada,/name/nm1148550/,"Long Beach, California, USA","[33.7690164, -118.191604]"
The White Ribbon,Michael Haneke,2009,9,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
The Headless Woman,Lucrecia Martel,2008,10,Cameron Bailey,Toronto Film Festival,Canada,/name/nm0551506/,"Salta, Argentina","[-25.1076701, -64.3494964]"
The Royal Tenenbaums,Wes Anderson,2001,1,Lindsay Baker,BBC Culture,UK,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Far From Heaven,Todd Haynes,2002,2,Lindsay Baker,BBC Culture,UK,/name/nm0001331/,"Los Angeles, California, USA","[34.0536909, -118.242766]"
Moonrise Kingdom,Wes Anderson,2012,3,Lindsay Baker,BBC Culture,UK,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Lost in Translation,Sofia Coppola,2003,4,Lindsay Baker,BBC Culture,UK,/name/nm0001068/,"New York City, New York, USA","[40.7127281, -74.0060152]"
A Single Man,Tom Ford,2009,5,Lindsay Baker,BBC Culture,UK,/name/nm1053530/,"Austin, Texas, USA","[30.2711286, -97.7436995]"
Spirited Away,Hayao Miyazaki,2001,6,Lindsay Baker,BBC Culture,UK,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Toy Story 3,Lee Unkrich,2010,7,Lindsay Baker,BBC Culture,UK,/name/nm0881279/,"Cleveland, Ohio, USA","[41.5051613, -81.6934446]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8,Lindsay Baker,BBC Culture,UK,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
I Am Love,Luca Guadagnino,2009,9,Lindsay Baker,BBC Culture,UK,/name/nm0345174/,"Palermo, Sicily, Italy","[38.1112268, 13.3524434]"
Donnie Darko,Richard Kelly,2001,10,Lindsay Baker,BBC Culture,UK,/name/nm0446819/,"Newport News, Virginia, USA","[36.9775016, -76.42977]"
Inherent Vice,Paul Thomas Anderson,2014,1,Miriam Bale,Freelance film critic,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Film socialisme,Jean-Luc Godard,2010,2,Miriam Bale,Freelance film critic,US,/name/nm0000419/,"Paris, France","[48.8588897, 2.3200410217200766]"
A History of Violence,David Cronenberg,2005,3,Miriam Bale,Freelance film critic,US,/name/nm0000343/,"Toronto, Ontario, Canada","[43.6534817, -79.3839347]"
This Is the End,Evan Goldberg and Seth Rogen,2013,4,Miriam Bale,Freelance film critic,US,,,"[46.3144754, 11.0480288]"
Somewhere,Sofia Coppola,2010,5,Miriam Bale,Freelance film critic,US,/name/nm0001068/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Holy Motors,Leos Carax,2012,6,Miriam Bale,Freelance film critic,US,/name/nm0136021/,"Suresnes, Hauts-de-Seine, France","[48.8709053, 2.2255727]"
Almayer's Folly,Chantal Akerman,2011,7,Miriam Bale,Freelance film critic,US,/name/nm0001901/,"Brussels, Belgium","[50.8465573, 4.351697]"
Inside Llewyn Davis,Joel and Ethan Coen,2013,8,Miriam Bale,Freelance film critic,US,,,"[46.3144754, 11.0480288]"
The Story of Marie and Julien,Jacques Rivette,2003,9,Miriam Bale,Freelance film critic,US,/name/nm0729626/,"Rouen, Seine-Maritime, France","[49.4404591, 1.0939658]"
Bamboozled,Spike Lee,2000,10,Miriam Bale,Freelance film critic,US,/name/nm0000490/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
Boyhood,Richard Linklater,2014,1,Nicholas Barber,BBC Culture,UK,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Under the Skin,Jonathan Glazer,2013,2,Nicholas Barber,BBC Culture,UK,/name/nm0322242/,"London, England, UK","[51.5073219, -0.1276474]"
Anomalisa,Duke Johnson and Charlie Kaufman,2015,3,Nicholas Barber,BBC Culture,UK,,,"[46.3144754, 11.0480288]"
12 Years a Slave,Steve McQueen,2013,4,Nicholas Barber,BBC Culture,UK,/name/nm0000537/,"Beech Grove, Indiana, USA","[39.7221906, -86.0894158]"
Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath and Conrad Vernon",2012,5,Nicholas Barber,BBC Culture,UK,,,"[46.3144754, 11.0480288]"
Another Year,Mike Leigh,2010,6,Nicholas Barber,BBC Culture,UK,/name/nm0005139/,"Salford, Greater Manchester, England, UK","[53.47903635, -2.3856990150907764]"
The Diving Bell and the Butterfly,Julian Schnabel,2007,7,Nicholas Barber,BBC Culture,UK,/name/nm0773603/,"Brooklyn, New York, USA","[40.6526006, -73.9497211]"
Children of Men,Alfonso Cuarón,2006,8,Nicholas Barber,BBC Culture,UK,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
The Social Network,David Fincher,2010,9,Nicholas Barber,BBC Culture,UK,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
A Separation,Asghar Farhadi,2011,10,Nicholas Barber,BBC Culture,UK,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
WALL-E,Andrew Stanton,2008,1,Diego Batlle,La Nacion,Argentina,/name/nm0004056/,"Boston, Massachusetts, USA","[42.3602534, -71.0582912]"
In the Mood for Love,Wong Kar-wai,2000,2,Diego Batlle,La Nacion,Argentina,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Spirited Away,Hayao Miyazaki,2001,3,Diego Batlle,La Nacion,Argentina,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Boyhood,Richard Linklater,2014,4,Diego Batlle,La Nacion,Argentina,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
The Son's Room,Nanni Moretti,2001,5,Diego Batlle,La Nacion,Argentina,/name/nm0604335/,"Brunico, Trentino-Alto Adige, Italy","[46.7963194, 11.9355121]"
Extraordinary Stories,Mariano Llinás,2008,6,Diego Batlle,La Nacion,Argentina,/name/nm1183471/,"Buenos Aires, Argentina","[-34.6075682, -58.4370894]"
Mulholland Drive,David Lynch,2001,7,Diego Batlle,La Nacion,Argentina,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
The Social Network,David Fincher,2010,8,Diego Batlle,La Nacion,Argentina,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
Elephant,Gus Van Sant,2003,9,Diego Batlle,La Nacion,Argentina,/name/nm0001814/,"Louisville, Kentucky, USA","[38.2542376, -85.759407]"
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,10,Diego Batlle,La Nacion,Argentina,/name/nm0917405/,"Bangkok, Thailand","[13.7525438, 100.4934734]"
Mulholland Drive,David Lynch,2001,1,NT Binh,Positif,France,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Talk to Her,Pedro Almodóvar,2002,2,NT Binh,Positif,France,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain","[38.7043087, -3.7766972]"
The Assassin,Hou Hsiao-hsien,2015,3,NT Binh,Positif,France,/name/nm0396284/,"Meixian, Guangdong, China","[24.4146228, 116.2342558]"
Million Dollar Baby,Clint Eastwood,2004,4,NT Binh,Positif,France,/name/nm0000142/,"San Francisco, California, USA","[37.7790262, -122.419906]"
In the Mood for Love,Wong Kar-wai,2000,5,NT Binh,Positif,France,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Leviathan,Andrey Zvyagintsev,2014,6,NT Binh,Positif,France,/name/nm1168657/,"Novosibirsk, Novosibirskaya oblast, Russia","[54.8053593, 83.0887559]"
A Touch of Sin,Jia Zhangke,2013,7,NT Binh,Positif,France,/name/nm0422605/,"Fenyang, Shanxi, China","[37.2683004, 111.7830029]"
Distant,Nuri Bilge Ceylan,2002,8,NT Binh,Positif,France,/name/nm0149196/,"Istanbul, Turkey","[41.0096334, 28.9651646]"
The New World,Terrence Malick,2005,9,NT Binh,Positif,France,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
A Prophet,Jacques Audiard,2009,10,NT Binh,Positif,France,/name/nm0002191/,"Paris, France","[48.8588897, 2.3200410217200766]"
Timbuktu,Abderrahmane Sissako,2014,1,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0803066/,"Kiffa, Mauritania","[16.6161559, -11.4002038]"
Blue Is the Warmest Color,Abdellatif Kechiche,2013,2,Lizelle Bisschoff,University of Glasgow,UK,/name/nm0444244/,"Tunis, Tunisia","[33.8439408, 9.400138]"
