movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dominant_lang
There Will Be Blood,Paul Thomas Anderson,2007,10,Arturo Aguilar,Rolling Stone Mexico,Mexico,/title/tt0469494/,English
The Piano Teacher,Michael Haneke,2001,1,Matthew Anderson,BBC Culture,UK,/title/tt0254686/,French
Margaret,Kenneth Lonergan,2011,2,Matthew Anderson,BBC Culture,UK,/title/tt3777860/,English
American Psycho,Mary Harron,2000,3,Matthew Anderson,BBC Culture,UK,/title/tt0144084/,English
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,4,Matthew Anderson,BBC Culture,UK,/title/tt1032846/,Romanian
Caché,Michael Haneke,2005,5,Matthew Anderson,BBC Culture,UK,/title/tt0387898/,French
Mulholland Drive,David Lynch,2001,6,Matthew Anderson,BBC Culture,UK,/title/tt0166924/,English
Lourdes,Jessica Hausner,2009,7,Matthew Anderson,BBC Culture,UK,/title/tt1405809/,French
Red Road,Andrea Arnold,2006,8,Matthew Anderson,BBC Culture,UK,/title/tt0471030/,English
Boyhood,Richard Linklater,2014,9,Matthew Anderson,BBC Culture,UK,/title/tt1065073/,English
Tony Manero,Pablo Larraín,2008,10,Matthew Anderson,BBC Culture,UK,/title/tt1223975/,Spanish
No Country For Old Men,Joel and Ethan Coen,2007,1,Tim Appelo,The Wrap,US,/title/tt0477348/,English
Spirited Away,Hayao Miyazaki,2001,2,Tim Appelo,The Wrap,US,/title/tt0245429/,Japanese
A Separation,Asghar Farhadi,2011,3,Tim Appelo,The Wrap,US,/title/tt1832382/,Persian
Pan's Labyrinth,Guillermo Del Toro,2006,4,Tim Appelo,The Wrap,US,/title/tt0457430/,Spanish
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,5,Tim Appelo,The Wrap,US,/title/tt0266543/,English
Hero,Zhang Yimou,2002,6,Tim Appelo,The Wrap,US,/title/tt0299977/,Mandarin
The Wolf of Wall Street,Martin Scorsese,2013,7,Tim Appelo,The Wrap,US,/title/tt0993846/,English
Mother,Bong Joon-ho,2009,8,Tim Appelo,The Wrap,US,/title/tt5109784/,English
The Bourne Ultimatum,Paul Greengrass,2007,9,Tim Appelo,The Wrap,US,/title/tt0440963/,English
Traffic,Steven Soderbergh,2000,10,Tim Appelo,The Wrap,US,/title/tt0181865/,English
These Encounters of Theirs,Danièle Huillet and Jean-Marie Straub,2006,1,Adriano Aprà,Film historian,Italy,/title/tt0815227/,Italian
Vincere,Marco Bellocchio,2009,2,Adriano Aprà,Film historian,Italy,/title/tt1156173/,Italian
Le quattro volte,Michelangelo Frammartino,2010,3,Adriano Aprà,Film historian,Italy,/title/tt1646975/,None
The Profession of Arms,Ermanno Olmi,2001,4,Adriano Aprà,Film historian,Italy,/title/tt0245276/,Italian
Gostanza da Libbiano,Paolo Benvenuti,2000,5,Adriano Aprà,Film historian,Italy,/title/tt0257726/,Italian
Storia di una donna amata e di un assassino gentile,Luigi M. Faccini,2009,6,Adriano Aprà,Film historian,Italy,,
At the First Breath of Wind,Franco Piavoli,2003,7,Adriano Aprà,Film historian,Italy,/title/tt0328825/,Italian
Sangue,Pippo Delbono,2013,8,Adriano Aprà,Film historian,Italy,/title/tt3102590/,Italian
Terra,Marco De Angelis and Antonio Di Trapani,2015,9,Adriano Aprà,Film historian,Italy,/title/tt0858486/,English
Oh! Man,Yervant Gianikian and Angela Ricci Lucchi,2004,10,Adriano Aprà,Film historian,Italy,/title/tt0431958/,Italian
"Synecdoche, New York",Charlie Kaufman,2008,1,Michael Arbeiter,Nerdist,US,/title/tt0383028/,English
Mulholland Drive,David Lynch,2001,2,Michael Arbeiter,Nerdist,US,/title/tt0166924/,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,3,Michael Arbeiter,Nerdist,US,/title/tt0338013/,English
Black Swan,Darren Aronofsky,2010,4,Michael Arbeiter,Nerdist,US,/title/tt0947798/,English
The Comedy,Rick Alverson,2012,5,Michael Arbeiter,Nerdist,US,/title/tt2112293/,English
Melancholia,Lars von Trier,2011,6,Michael Arbeiter,Nerdist,US,/title/tt1527186/,English
Inglourious Basterds,Quentin Tarantino,2009,7,Michael Arbeiter,Nerdist,US,/title/tt0361748/,English
Inside Llewyn Davis,Joel and Ethan Coen,2013,8,Michael Arbeiter,Nerdist,US,/title/tt2042568/,English
Only Lovers Left Alive,Jim Jarmusch,2013,9,Michael Arbeiter,Nerdist,US,/title/tt1714915/,English
The Congress,Ari Folman,2013,10,Michael Arbeiter,Nerdist,US,/title/tt1821641/,English
The Master,Paul Thomas Anderson,2012,1,Ali Arikan,Dipnot TV,Turkey,/title/tt1560747/,English
25th Hour,Spike Lee,2002,2,Ali Arikan,Dipnot TV,Turkey,/title/tt0307901/,English
24 Hour Party People,Michael Winterbottom,2002,3,Ali Arikan,Dipnot TV,Turkey,/title/tt0274309/,English
Mulholland Drive,David Lynch,2001,4,Ali Arikan,Dipnot TV,Turkey,/title/tt0166924/,English
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,5,Ali Arikan,Dipnot TV,Turkey,/title/tt1827487/,Turkish
Zodiac,David Fincher,2007,6,Ali Arikan,Dipnot TV,Turkey,/title/tt0443706/,English
A Serious Man,Joel and Ethan Coen,2009,7,Ali Arikan,Dipnot TV,Turkey,/title/tt1019452/,English
Tinker Tailor Soldier Spy,Tomas Alfredson,2011,8,Ali Arikan,Dipnot TV,Turkey,/title/tt1340800/,English
Primer,Shane Carruth,2004,9,Ali Arikan,Dipnot TV,Turkey,/title/tt0390384/,English
In the Mood for Love,Wong Kar-wai,2000,10,Ali Arikan,Dipnot TV,Turkey,/title/tt0118694/,Cantonese
"La commune (Paris, 1871)","Paris, 1871) (Peter Watkins",1871,1,Michael Atkinson,The Village Voice,US,/title/tt0257497/,French
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,2,Michael Atkinson,The Village Voice,US,/title/tt1588895/,Thai
2046,Wong Kar-wai,2004,3,Michael Atkinson,The Village Voice,US,/title/tt0212712/,Cantonese
Adaptation,Spike Jonze,2002,4,Michael Atkinson,The Village Voice,US,/title/tt0268126/,English
Battle in Heaven,Carlos Reygadas,2005,5,Michael Atkinson,The Village Voice,US,/title/tt0387055/,Spanish
Caché,Michael Haneke,2005,6,Michael Atkinson,The Village Voice,US,/title/tt0387898/,French
Inland Empire,David Lynch,2006,7,Michael Atkinson,The Village Voice,US,/title/tt0460829/,English
Mulholland Drive,David Lynch,2001,8,Michael Atkinson,The Village Voice,US,/title/tt0166924/,English
Mysteries of Lisbon,Raoul Ruiz,2010,9,Michael Atkinson,The Village Voice,US,/title/tt1236371/,Portuguese
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,10,Michael Atkinson,The Village Voice,US,/title/tt0338013/,English
There Will Be Blood,Paul Thomas Anderson,2007,1,Ana Maria Bahiana,Freelance film critic,Brazil,/title/tt0469494/,English
Mulholland Drive,David Lynch,2001,2,Ana Maria Bahiana,Freelance film critic,Brazil,/title/tt0166924/,English
Children of Men,Alfonso Cuarón,2006,3,Ana Maria Bahiana,Freelance film critic,Brazil,/title/tt0206634/,English
City of God,Fernando Meirelles and Kátia Lund,2002,4,Ana Maria Bahiana,Freelance film critic,Brazil,/title/tt0317248/,Portuguese
Pan's Labyrinth,Guillermo Del Toro,2006,5,Ana Maria Bahiana,Freelance film critic,Brazil,/title/tt0457430/,Spanish
Inception,Christopher Nolan,2010,6,Ana Maria Bahiana,Freelance film critic,Brazil,/title/tt1375666/,English
The Incredibles,Brad Bird,2004,7,Ana Maria Bahiana,Freelance film critic,Brazil,/title/tt0317705/,English
Birdman,Alejandro González Iñárritu,2014,8,Ana Maria Bahiana,Freelance film critic,Brazil,/title/tt2562232/,English
No Country For Old Men,Joel and Ethan Coen,2007,9,Ana Maria Bahiana,Freelance film critic,Brazil,/title/tt0477348/,English
Brokeback Mountain,Ang Lee,2005,10,Ana Maria Bahiana,Freelance film critic,Brazil,/title/tt0388795/,English
In the Mood for Love,Wong Kar-wai,2000,1,Cameron Bailey,Toronto Film Festival,Canada,/title/tt0118694/,Cantonese
12 Years a Slave,Steve McQueen,2013,2,Cameron Bailey,Toronto Film Festival,Canada,/title/tt2024544/,English
Spirited Away,Hayao Miyazaki,2001,3,Cameron Bailey,Toronto Film Festival,Canada,/title/tt0245429/,Japanese
Fish Tank,Andrea Arnold,2009,4,Cameron Bailey,Toronto Film Festival,Canada,/title/tt1232776/,English
Mommy,Xavier Dolan,2014,5,Cameron Bailey,Toronto Film Festival,Canada,/title/tt3612616/,French
Talk to Her,Pedro Almodóvar,2002,6,Cameron Bailey,Toronto Film Festival,Canada,/title/tt0287467/,Spanish
Timbuktu,Abderrahmane Sissako,2014,7,Cameron Bailey,Toronto Film Festival,Canada,/title/tt3409392/,French
Selma,Ava DuVernay,2014,8,Cameron Bailey,Toronto Film Festival,Canada,/title/tt1020072/,English
The White Ribbon,Michael Haneke,2009,9,Cameron Bailey,Toronto Film Festival,Canada,/title/tt1149362/,German
The Headless Woman,Lucrecia Martel,2008,10,Cameron Bailey,Toronto Film Festival,Canada,/title/tt1221141/,Spanish
The Royal Tenenbaums,Wes Anderson,2001,1,Lindsay Baker,BBC Culture,UK,/title/tt0265666/,English
Far From Heaven,Todd Haynes,2002,2,Lindsay Baker,BBC Culture,UK,/title/tt0297884/,English
Moonrise Kingdom,Wes Anderson,2012,3,Lindsay Baker,BBC Culture,UK,/title/tt1748122/,English
Lost in Translation,Sofia Coppola,2003,4,Lindsay Baker,BBC Culture,UK,/title/tt0335266/,English
A Single Man,Tom Ford,2009,5,Lindsay Baker,BBC Culture,UK,/title/tt1315981/,English
Spirited Away,Hayao Miyazaki,2001,6,Lindsay Baker,BBC Culture,UK,/title/tt0245429/,Japanese
Toy Story 3,Lee Unkrich,2010,7,Lindsay Baker,BBC Culture,UK,/title/tt0435761/,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8,Lindsay Baker,BBC Culture,UK,/title/tt0338013/,English
I Am Love,Luca Guadagnino,2009,9,Lindsay Baker,BBC Culture,UK,/title/tt1226236/,Italian
Donnie Darko,Richard Kelly,2001,10,Lindsay Baker,BBC Culture,UK,/title/tt0246578/,English
Inherent Vice,Paul Thomas Anderson,2014,1,Miriam Bale,Freelance film critic,US,/title/tt1791528/,English
Film socialisme,Jean-Luc Godard,2010,2,Miriam Bale,Freelance film critic,US,/title/tt1438535/,French
A History of Violence,David Cronenberg,2005,3,Miriam Bale,Freelance film critic,US,/title/tt0399146/,English
This Is the End,Evan Goldberg and Seth Rogen,2013,4,Miriam Bale,Freelance film critic,US,/title/tt1245492/,English
Somewhere,Sofia Coppola,2010,5,Miriam Bale,Freelance film critic,US,/title/tt1421051/,English
Holy Motors,Leos Carax,2012,6,Miriam Bale,Freelance film critic,US,/title/tt2076220/,French
Almayer's Folly,Chantal Akerman,2011,7,Miriam Bale,Freelance film critic,US,/title/tt1823126/,Malay
Inside Llewyn Davis,Joel and Ethan Coen,2013,8,Miriam Bale,Freelance film critic,US,/title/tt2042568/,English
The Story of Marie and Julien,Jacques Rivette,2003,9,Miriam Bale,Freelance film critic,US,/title/tt0339357/,French
Bamboozled,Spike Lee,2000,10,Miriam Bale,Freelance film critic,US,/title/tt0215545/,English
Boyhood,Richard Linklater,2014,1,Nicholas Barber,BBC Culture,UK,/title/tt1065073/,English
Under the Skin,Jonathan Glazer,2013,2,Nicholas Barber,BBC Culture,UK,/title/tt1441395/,English
Anomalisa,Duke Johnson and Charlie Kaufman,2015,3,Nicholas Barber,BBC Culture,UK,/title/tt2401878/,English
12 Years a Slave,Steve McQueen,2013,4,Nicholas Barber,BBC Culture,UK,/title/tt2024544/,English
Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath and Conrad Vernon",2012,5,Nicholas Barber,BBC Culture,UK,/title/tt1277953/,English
Another Year,Mike Leigh,2010,6,Nicholas Barber,BBC Culture,UK,/title/tt1431181/,English
The Diving Bell and the Butterfly,Julian Schnabel,2007,7,Nicholas Barber,BBC Culture,UK,/title/tt0401383/,French
Children of Men,Alfonso Cuarón,2006,8,Nicholas Barber,BBC Culture,UK,/title/tt0206634/,English
The Social Network,David Fincher,2010,9,Nicholas Barber,BBC Culture,UK,/title/tt1285016/,English
A Separation,Asghar Farhadi,2011,10,Nicholas Barber,BBC Culture,UK,/title/tt1832382/,Persian
WALL-E,Andrew Stanton,2008,1,Diego Batlle,La Nacion,Argentina,/title/tt0910970/,English
In the Mood for Love,Wong Kar-wai,2000,2,Diego Batlle,La Nacion,Argentina,/title/tt0118694/,Cantonese
Spirited Away,Hayao Miyazaki,2001,3,Diego Batlle,La Nacion,Argentina,/title/tt0245429/,Japanese
Boyhood,Richard Linklater,2014,4,Diego Batlle,La Nacion,Argentina,/title/tt1065073/,English
The Son's Room,Nanni Moretti,2001,5,Diego Batlle,La Nacion,Argentina,/title/tt0208990/,Italian
Extraordinary Stories,Mariano Llinás,2008,6,Diego Batlle,La Nacion,Argentina,/title/tt1225831/,Spanish
Mulholland Drive,David Lynch,2001,7,Diego Batlle,La Nacion,Argentina,/title/tt0166924/,English
The Social Network,David Fincher,2010,8,Diego Batlle,La Nacion,Argentina,/title/tt1285016/,English
Elephant,Gus Van Sant,2003,9,Diego Batlle,La Nacion,Argentina,/title/tt0363589/,English
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,10,Diego Batlle,La Nacion,Argentina,/title/tt1588895/,Thai
Mulholland Drive,David Lynch,2001,1,NT Binh,Positif,France,/title/tt0166924/,English
Talk to Her,Pedro Almodóvar,2002,2,NT Binh,Positif,France,/title/tt0287467/,Spanish
The Assassin,Hou Hsiao-hsien,2015,3,NT Binh,Positif,France,/title/tt0107843/,English
Million Dollar Baby,Clint Eastwood,2004,4,NT Binh,Positif,France,/title/tt0405159/,English
In the Mood for Love,Wong Kar-wai,2000,5,NT Binh,Positif,France,/title/tt0118694/,Cantonese
Leviathan,Andrey Zvyagintsev,2014,6,NT Binh,Positif,France,/title/tt0097737/,English
A Touch of Sin,Jia Zhangke,2013,7,NT Binh,Positif,France,/title/tt2852400/,Mandarin
Distant,Nuri Bilge Ceylan,2002,8,NT Binh,Positif,France,/title/tt9883398/,English
The New World,Terrence Malick,2005,9,NT Binh,Positif,France,/title/tt0402399/,English
A Prophet,Jacques Audiard,2009,10,NT Binh,Positif,France,/title/tt1235166/,French
Timbuktu,Abderrahmane Sissako,2014,1,Lizelle Bisschoff,University of Glasgow,UK,/title/tt3409392/,French
Blue Is the Warmest Color,Abdellatif Kechiche,2013,2,Lizelle Bisschoff,University of Glasgow,UK,/title/tt2278871/,French
Moolaadé,Ousmane Sembèène,2004,3,Lizelle Bisschoff,University of Glasgow,UK,/title/tt0416991/,Bambara
A Separation,Asghar Farhadi,2011,4,Lizelle Bisschoff,University of Glasgow,UK,/title/tt1832382/,Persian
The Secret in Their Eyes,Juan José Campanella,2009,5,Lizelle Bisschoff,University of Glasgow,UK,/title/tt1305806/,Spanish
Oldboy,Park Chan-wook,2003,6,Lizelle Bisschoff,University of Glasgow,UK,/title/tt0364569/,Korean
In the Mood for Love,Wong Kar-wai,2000,7,Lizelle Bisschoff,University of Glasgow,UK,/title/tt0118694/,Cantonese
Fat Girl,Catherine Breillat,2001,8,Lizelle Bisschoff,University of Glasgow,UK,/title/tt0243255/,French
The Orphanage,J. A. Bayona,2007,9,Lizelle Bisschoff,University of Glasgow,UK,/title/tt0464141/,Spanish
The Hunt,Thomas Vinterberg,2012,10,Lizelle Bisschoff,University of Glasgow,UK,/title/tt8244784/,English
Spring Breakers,Harmony Korine,2012,1,Christian Blauvelt,BBC Culture,US,/title/tt2101441/,English
My Winnipeg,Guy Maddin,2007,2,Christian Blauvelt,BBC Culture,US,/title/tt1093842/,English
The Ghost Writer,Roman Polanski,2010,3,Christian Blauvelt,BBC Culture,US,/title/tt1139328/,English
Moulin Rouge!,Baz Luhrmann,2001,4,Christian Blauvelt,BBC Culture,US,/title/tt0203009/,English
Star Wars: Episode III – Revenge of the Sith,George Lucas,2005,5,Christian Blauvelt,BBC Culture,US,/title/tt0121766/,English
Manakamana,Pacho Velez and Stephanie Spray,2013,6,Christian Blauvelt,BBC Culture,US,/title/tt3103326/,Nepali
The Curious Case of Benjamin Button,David Fincher,2008,7,Christian Blauvelt,BBC Culture,US,/title/tt0421715/,English
"You, The Living",Roy Andersson,2007,8,Christian Blauvelt,BBC Culture,US,/title/tt0445336/,Swedish
Mother,Bong Joon-ho,2009,9,Christian Blauvelt,BBC Culture,US,/title/tt5109784/,English
A Serious Man,Joel and Ethan Coen,2009,10,Christian Blauvelt,BBC Culture,US,/title/tt1019452/,English
Moolaadé,Ousmane Sembène,2004,1,Mahen Bonetti,African Film Festival Inc,US,/title/tt0416991/,Bambara
Timbuktu,Abderrahmane Sissako,2014,2,Mahen Bonetti,African Film Festival Inc,US,/title/tt3409392/,French
Cuba: An African Odyssey,Jihan El-Tahri,2007,3,Mahen Bonetti,African Film Festival Inc,US,/title/tt1106760/,
"Sexe, gombo et beurre salé",Mahamat-Saleh Haroun,2008,4,Mahen Bonetti,African Film Festival Inc,US,/title/tt1254774/,French
Shoot the Messenger,Ngozi Onwurah,2006,5,Mahen Bonetti,African Film Festival Inc,US,/title/tt5178678/,English
Red Leaves,Bazi Gete,2014,6,Mahen Bonetti,African Film Festival Inc,US,/title/tt15456030/,
The Colonial Misunderstanding,Jean-Marie Téno,2004,7,Mahen Bonetti,African Film Festival Inc,US,/title/tt0474246/,English
Restless City,Andrew Dosunmu,2011,8,Mahen Bonetti,African Film Festival Inc,US,/title/tt1545464/,English
Conversations on a Sunday Afternoon,Khalo Matabane,2005,9,Mahen Bonetti,African Film Festival Inc,US,/title/tt0471130/,French
Belle,Amma Asante,2013,10,Mahen Bonetti,African Film Festival Inc,US,/title/tt13651628/,Japanese
Requiem for a Dream,Darren Aronofsky,2000,1,Andreas Borcholte,Spiegel Online,Germany,/title/tt0180093/,English
Antichrist,Lars von Trier,2009,2,Andreas Borcholte,Spiegel Online,Germany,/title/tt0870984/,English
Children of Men,Alfonso Cuarón,2006,3,Andreas Borcholte,Spiegel Online,Germany,/title/tt0206634/,English
The Child,Jean-Pierre and Luc Dardenne,2005,4,Andreas Borcholte,Spiegel Online,Germany,/title/tt0456396/,French
No Country For Old Men,Joel and Ethan Coen,2007,5,Andreas Borcholte,Spiegel Online,Germany,/title/tt0477348/,English
Fish Tank,Andrea Arnold,2009,6,Andreas Borcholte,Spiegel Online,Germany,/title/tt1232776/,English
The Tree of Life,Terrence Malick,2011,7,Andreas Borcholte,Spiegel Online,Germany,/title/tt0478304/,English
Inception,Christopher Nolan,2010,8,Andreas Borcholte,Spiegel Online,Germany,/title/tt1375666/,English
Kill Bill: Vol. 1,Quentin Tarantino,2003,9,Andreas Borcholte,Spiegel Online,Germany,/title/tt0266697/,English
Irreversible,Gaspar Noé,2002,10,Andreas Borcholte,Spiegel Online,Germany,/title/tt0290673/,French
Amour,Michael Haneke,2012,1,Utpal Borpujari,Freelance film critic,India,/title/tt1602620/,French
A Separation,Asghar Farhadi,2011,2,Utpal Borpujari,Freelance film critic,India,/title/tt1832382/,Persian
In the Mood for Love,Wong Kar-wai,2000,3,Utpal Borpujari,Freelance film critic,India,/title/tt0118694/,Cantonese
A Prophet,Jacques Audiard,2009,4,Utpal Borpujari,Freelance film critic,India,/title/tt1235166/,French
Monsoon Wedding,Mira Nair,2001,5,Utpal Borpujari,Freelance film critic,India,/title/tt0265343/,Hindi
Son of Saul,László Nemes,2015,6,Utpal Borpujari,Freelance film critic,India,/title/tt3808342/,Hungarian
Thithi,Raam Reddy,2015,7,Utpal Borpujari,Freelance film critic,India,/title/tt4881362/,Kannada
Blue Is the Warmest Color,Abdellatif Kechiche,2013,8,Utpal Borpujari,Freelance film critic,India,/title/tt2278871/,French
No Man's Land,Danis Tanovic,2001,9,Utpal Borpujari,Freelance film critic,India,/title/tt0119164/,English
Waltz with Bashir,Ari Folman,2008,10,Utpal Borpujari,Freelance film critic,India,/title/tt1185616/,Hebrew
In Praise of Love,Jean-Luc Godard,2001,1,Richard Brody,The New Yorker,US,/title/tt0181912/,French
The Wolf of Wall Street,Martin Scorsese,2013,2,Richard Brody,The New Yorker,US,/title/tt0993846/,English
The Last of the Unjust,Claude Lanzmann,2013,3,Richard Brody,The New Yorker,US,/title/tt2340784/,German
Like Someone In Love,Abbas Kiarostami,2012,4,Richard Brody,The New Yorker,US,/title/tt1843287/,Japanese
The Grand Budapest Hotel,Wes Anderson,2014,5,Richard Brody,The New Yorker,US,/title/tt2278388/,English
Butter on the Latch,Josephine Decker,2013,6,Richard Brody,The New Yorker,US,/title/tt2252304/,English
Heaven Knows What,Josh and Benny Safdie,2014,7,Richard Brody,The New Yorker,US,/title/tt3687186/,English
The Future,Miranda July,2011,8,Richard Brody,The New Yorker,US,/title/tt0082517/,English
Holy Motors,Leos Carax,2012,9,Richard Brody,The New Yorker,US,/title/tt2076220/,French
Coma,Sara Fattahi,2015,10,Richard Brody,The New Yorker,US,/title/tt0077355/,English
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,1,Hannah Brown,Jerusalem Post,Israel,/title/tt1032846/,Romanian
The Royal Tenenbaums,Wes Anderson,2001,2,Hannah Brown,Jerusalem Post,Israel,/title/tt0265666/,English
No Country For Old Men,Joel and Ethan Coen,2007,3,Hannah Brown,Jerusalem Post,Israel,/title/tt0477348/,English
Waltz with Bashir,Ari Folman,2008,4,Hannah Brown,Jerusalem Post,Israel,/title/tt1185616/,Hebrew
The Matchmaker,Avi Nesher,2010,5,Hannah Brown,Jerusalem Post,Israel,/title/tt0119632/,English
Footnote,Joseph Cedar,2011,6,Hannah Brown,Jerusalem Post,Israel,/title/tt1445520/,Hebrew
The Son,Jean-Pierre and Luc Dardenne,2002,7,Hannah Brown,Jerusalem Post,Israel,/title/tt3839822/,English
In the Mood for Love,Wong Kar-wai,2000,8,Hannah Brown,Jerusalem Post,Israel,/title/tt0118694/,Cantonese
You Can Count On Me,Kenneth Lonergan,2000,9,Hannah Brown,Jerusalem Post,Israel,/title/tt0203230/,English
Yossi & Jagger,Eytan Fox,2002,10,Hannah Brown,Jerusalem Post,Israel,/title/tt0334754/,Hebrew
Mulholland Drive,David Lynch,2001,1,Luke Buckmaster,The Guardian/BBC Culture,Australia,/title/tt0166924/,English
There Will Be Blood,Paul Thomas Anderson,2007,2,Luke Buckmaster,The Guardian/BBC Culture,Australia,/title/tt0469494/,English
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,3,Luke Buckmaster,The Guardian/BBC Culture,Australia,/title/tt0190590/,English
Spirited Away,Hayao Miyazaki,2001,4,Luke Buckmaster,The Guardian/BBC Culture,Australia,/title/tt0245429/,Japanese
Children of Men,Alfonso Cuarón,2006,5,Luke Buckmaster,The Guardian/BBC Culture,Australia,/title/tt0206634/,English
In the Mood for Love,Wong Kar-wai,2000,6,Luke Buckmaster,The Guardian/BBC Culture,Australia,/title/tt0118694/,Cantonese
The Babadook,Jennifer Kent,2014,7,Luke Buckmaster,The Guardian/BBC Culture,Australia,/title/tt2321549/,English
A Separation,Asghar Farhadi,2011,8,Luke Buckmaster,The Guardian/BBC Culture,Australia,/title/tt1832382/,Persian
